date,avg_gas_gwei,min_gas_gwei,max_gas_gwei,avg_tx_cost_eth,avg_tx_cost_usd,total_txs,failed_txs,failed_tx_pct,avg_block_time_sec,congestion_level
2026-07-01,0.0086,0.0068,0.0228,1.8e-07,0.0005,2113485,41258,1.69,1.9,low
2026-07-02,0.0053,0.003,0.0119,1.1e-07,0.0003,4695503,46059,1.78,1.9,medium
2026-07-03,0.0064,0.0035,0.0206,1.3e-07,0.0004,3282620,18873,1.87,1.9,medium
2026-07-04,0.0016,0.0009,0.0039,3e-08,0.0001,665416,10503,1.43,2.1,high
2026-07-05,0.004,0.0032,0.0112,8e-08,0.0002,2500450,22912,0.97,1.8,high
2026-07-06,0.0034,0.0024,0.0099,7e-08,0.0002,3344790,5139,1.88,2.1,low
2026-07-07,0.0013,0.0008,0.0025,3e-08,0.0001,3554908,13295,1.76,2.0,low
2026-07-08,0.0012,0.0007,0.0039,3e-08,0.0001,2992585,9367,1.94,2.0,high
2026-07-09,0.0033,0.0017,0.006,7e-08,0.0002,724898,40085,1.03,2.1,medium
2026-07-10,0.0065,0.0042,0.0182,1.4e-07,0.0004,2189275,34860,1.65,2.1,high
2026-07-11,0.0032,0.0019,0.0111,7e-08,0.0002,3818619,31059,1.06,1.9,low
2026-07-12,0.0098,0.0049,0.0287,2.1e-07,0.0006,1203152,43760,2.3,1.9,high
2026-07-13,0.0024,0.0017,0.0061,5e-08,0.0002,2959096,36792,1.99,1.9,high
2026-07-14,0.0011,0.0006,0.0021,2e-08,0.0001,3627857,5606,1.92,2.0,high
2026-07-15,0.0023,0.0013,0.0078,5e-08,0.0001,4434018,24775,1.79,1.8,low
2026-07-16,0.0064,0.0043,0.0184,1.3e-07,0.0004,2540673,35419,0.67,1.9,low
2026-07-17,0.01,0.0068,0.0337,2.1e-07,0.0006,3454054,30332,2.19,2.1,medium
2026-07-18,0.0099,0.0053,0.0301,2.1e-07,0.0006,3214566,40749,0.6,2.2,medium
2026-07-19,0.0057,0.0032,0.0157,1.2e-07,0.0003,1319465,19089,2.3,2.0,high
2026-07-20,0.0052,0.0037,0.0115,1.1e-07,0.0003,822927,30948,1.95,2.2,medium
2026-07-21,0.0094,0.0066,0.0223,2e-07,0.0006,878941,24683,1.94,2.1,high
2026-07-22,0.0071,0.0036,0.0272,1.5e-07,0.0005,1848246,45094,0.59,2.2,medium
2026-07-23,0.0015,0.0009,0.0036,3e-08,0.0001,2293422,49167,0.69,2.2,low
2026-07-24,0.0044,0.0031,0.0156,9e-08,0.0003,3808948,5582,1.85,2.0,medium
2026-07-25,0.0025,0.0013,0.0048,5e-08,0.0002,4347882,23564,1.44,2.0,low
2026-07-26,0.0018,0.0014,0.0044,4e-08,0.0001,3505815,18969,2.39,2.1,high
2026-07-27,0.0055,0.0039,0.0201,1.2e-07,0.0003,4748263,20714,0.64,2.0,medium
2026-07-28,0.0027,0.0019,0.0054,6e-08,0.0002,1222224,24331,1.58,1.9,low
2026-07-29,0.0078,0.006,0.029,1.6e-07,0.0005,4825387,18722,0.58,2.2,medium
2026-07-30,0.0052,0.0038,0.0136,1.1e-07,0.0003,2949984,15484,1.74,2.0,low
